title,authors,narrators
The Little Drummer Girl: A Novel,['John le Carr�'],['Michael Jayston']
The ABC Murders,['Agatha Christie'],['Hugh Fraser']
The Origins of Political Order: From Prehuman Times to the French Revolution,['Francis Fukuyama'],['Jonathan Davis']
Headhunters,"['Jo Nesb�', 'Don Bartlett']",['Steve West']
"The Rembrandt Affair: Gabriel Allon, Book 10",['Daniel Silva'],['Phil Gigante']
This Body of Death: An Inspector Lynley Novel,['Elizabeth George'],['John Lee']
The Trial,['Franz Kafka'],['George Guidall']
Void Moon,['Michael Connelly'],['L. J. Ganser']
The Sandman,"['Neil Gaiman', 'Dirk Maggs']","['Riz Ahmed', 'Kat Dennings', 'Taron Egerton', 'Neil Gaiman', 'James McAvoy', 'Samantha Morton', 'Bebe Neuwirth', 'Andy Serkis', 'Michael Sheen']"
These Women: A Novel,['Ivy Pochoda'],"['Bahni Turpin', 'Frankie Corzo']"
The Secrets of Wishtide,['Kate Saunders'],['Anna Bentinck']
Murder at an Irish Christmas,"[""Carlene O'Connor""]",['Caroline Lennon']
"Trunk Music: Harry Bosch Series, Book 5",['Michael Connelly'],['Dick Hill']
The Odessa File,['Frederick Forsyth'],['Frederick Davidson']
"The Last Coyote: Harry Bosch Series, Book 4",['Michael Connelly'],['Dick Hill']
A Thousand Ships: A Novel,['Natalie Haynes'],['Natalie Haynes']
The FBI Way: Inside the Bureau's Code of Excellence,['Frank Figliuzzi'],['Frank Figliuzzi']
After the Fall: Being American in the World We've Made,['Ben Rhodes'],['Ben Rhodes']
The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,"['Culadasa John Yates PhD', 'Matthew Immergut PhD', 'Jeremy Graves']",['Sean Runnette']
Ten Lessons for a Post-Pandemic World,['Fareed Zakaria'],['Fareed Zakaria']
"The Concrete Blonde: Harry Bosch Series, Book 3",['Michael Connelly'],['Dick Hill']
A Dangerous Fortune,['Ken Follett'],['Michael Page']
The Poet,['Michael Connelly'],['Buck Schirner']
The Premonition: A Pandemic Story,['Michael Lewis'],['Adenrele Ojo']
Heroes: The Greek Myths Reimagined,['Stephen Fry'],['Stephen Fry']
"Poirot Investigates: A Hercule Poirot Collection (Hercule Poirot Mysteries, Book 3)",['Agatha Christie'],['Richard Armitage']
Beginner's Mind: Words + Music | Vol. 13,['Yo-Yo Ma'],['Yo-Yo Ma']
Very Good Jeeves,['P. G. Wodehouse'],['Jonathan Cecil']
Fossil Men: The Quest for the Oldest Skeleton and the Origins of Humankind,['Kermit Pattison'],['Roger Wayne']
"The Night Fire: A Ballard and Bosch Novel: Harry Bosch, Book 22",['Michael Connelly'],"['Christine Lakin', 'Titus Welliver']"
A Divided Loyalty: A Novel,['Charles Todd'],['Simon Prebble']
"This Is Your Brain on Food: An Indispensable Guide to the Surprising Foods That Fight Depression, Anxiety, PTSD, OCD, ADHD, and More",['Uma Naidoo MD'],"['Uma Naidoo MD', 'Deepti Gupta']"
"Some Danger Involved: Barker & Llewelyn Series, Book 1",['Will Thomas'],['Antony Ferguson']
The Twelve Clues of Christmas,['Rhys Bowen'],['Katherine Kellgren']
Royal Blood,['Rhys Bowen'],['Katherine Kellgren']
They Went Left,['Monica Hesse'],['Caitlin Davies']
Dubliners - A Portrait of the Artist as a Young Man - Ulysses,['James Joyce'],['Tadhg Hynes']
The Loop,['Jeremy Robert Johnson'],['In�s del Castillo']
On Writers and Writing,['Margaret Atwood'],['Margaret Atwood']
999: The Extraordinary Young Women of the First Official Jewish Transport to Auschwitz,"['Heather Dune Macadam', 'Caroline Moorehead - foreword']",['Suzanne Toren']
"The Unspoken: Ashe Cayne, Book 1",['Ian K. Smith'],['Amir Abdullah']
